geoid,county,tract,lat,lng,snap_rate,total_households,snap_households
25025000101,Suffolk,000101,42.360567499999995,-71.13305935714286,0.07543859649122807,570,43
25025000102,Suffolk,000102,42.35902415789473,-71.14534605263157,0.24113475177304963,1551,374
25025000201,Suffolk,000201,42.353553559999995,-71.16173079999999,0.05817028027498678,1891,110
25025000202,Suffolk,000202,42.352758272727264,-71.15472922727271,0.13049180327868853,1525,199
25025000301,Suffolk,000301,42.353809705882355,-71.1677475882353,0.023549201009251473,1189,28
25025000302,Suffolk,000302,42.347671000000005,-71.166634375,0.07227138643067847,1356,98
25025000401,Suffolk,000401,42.34366465000001,-71.1496186,0.17702513966480446,2864,507
25025000402,Suffolk,000402,42.34423342857143,-71.15815309523809,0.02850877192982456,1368,39
25025000502,Suffolk,000502,42.33746628125001,-71.1568819375,0.06227544910179641,1670,104
25025000503,Suffolk,000503,42.3396992,-71.14998926666667,0.03460514640638864,1127,39
25025000505,Suffolk,000505,42.342853769230764,-71.1411686923077,0.20883164673413063,1087,227
25025000506,Suffolk,000506,42.339960789473686,-71.1459602105263,0.15469208211143695,1364,211
25025000601,Suffolk,000601,42.35086358333334,-71.14834979166666,0.0381328073635766,1521,58
25025000603,Suffolk,000603,42.347168692307704,-71.14543092307693,0.2892209178228389,937,271
25025000604,Suffolk,000604,42.350987499999995,-71.14011471428572,0.09298245614035087,1140,106
25025000701,Suffolk,000701,42.346964176470586,-71.13772135294117,0.07015857760691975,2081,146
25025000703,Suffolk,000703,42.351357944444445,-71.12738633333332,0.05,980,49
25025000704,Suffolk,000704,42.34965456250001,-71.1335665625,0.05233380480905234,2121,111
25025000804,Suffolk,000804,42.3590596,-71.13135510000001,0.17857142857142858,1232,220
25025000805,Suffolk,000805,42.3534483076923,-71.12949176923077,0.06728704366499642,1397,94
25025000806,Suffolk,000806,42.363139928571435,-71.12645217857143,0.0,758,0
25025010103,Suffolk,010103,42.34995615384616,-71.10390023076924,0.0213903743315508,374,8
25025010104,Suffolk,010104,42.34896994117647,-71.09460770588237,0.09205776173285199,1662,153
25025010204,Suffolk,010204,42.34637171428572,-71.10359128571427,0.02862595419847328,1048,30
25025010205,Suffolk,010205,42.34309855555556,-71.09979700000001,0.061875480399692546,2602,161
25025010206,Suffolk,010206,42.34660373333334,-71.093222,0.058493589743589744,1248,73
25025010300,Suffolk,010300,42.3394748,-71.10004326666667,0.08438818565400844,237,20
25025010403,Suffolk,010403,42.34529125,-71.088267375,0.09948246118458884,1739,173
25025010404,Suffolk,010404,42.34182241666667,-71.08921208333335,0.07229894394800974,1231,89
25025010405,Suffolk,010405,42.34132243999999,-71.08973632000001,0.4430992736077482,826,366
25025010408,Suffolk,010408,42.343343999999995,-71.0961144,0.08409090909090909,880,74
25025010500,Suffolk,010500,42.344595687500004,-71.0840105,0.08285385500575373,1738,144
25025010600,Suffolk,010600,42.347512411764704,-71.07928517647058,0.08217203267659778,2081,171
25025010701,Suffolk,010701,42.34969507142857,-71.08444364285715,0.003834355828220859,1304,5
25025010702,Suffolk,010702,42.35160986666667,-71.07574319999999,0.04840032813781788,1219,59
25025010801,Suffolk,010801,42.35436881818182,-71.07683263636363,0.007623888182973317,1574,12
25025010802,Suffolk,010802,42.351342833333334,-71.086275,0.020493956910141883,1903,39
25025020101,Suffolk,020101,42.35778976923076,-71.06957123076924,0.0,2487,0
25025020200,Suffolk,020200,42.36035981818182,-71.06906863636364,0.0891812865497076,2052,183
25025020301,Suffolk,020301,42.3638265882353,-71.06835635294117,0.0764381402679275,1269,97
25025020302,Suffolk,020302,42.3594681,-71.06406890000001,0.08514190317195326,599,51
